,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
45,12.5,10.6,10.5,34.3,18.2,21.4,13.4,26.3,21.7,23.4,34.8,39.3,16.8,21.9,29.7,23.9,20.6,28.2
46,11.4,9.5,9.6,33.4,17.7,19.3,11.9,22.9,19.2,20.6,30,31.9,15.2,19.6,24.6,20.8,16.8,24
47,13,11.1,10.9,34.6,18.4,22.2,14,27.6,22.7,24.5,36.7,42.3,17.4,22.8,31.8,25.1,22.1,29.8
48,11.8,9.9,9.9,33.8,17.9,20.1,12.4,24.1,20.2,21.6,31.8,34.6,15.8,20.4,26.5,21.9,18.1,25.5
49,13.6,11.6,11.4,35.1,18.7,23.3,14.8,29.5,24,26,39.4,46.7,18.3,24,34.8,26.8,24.4,32.2
50,13.1,11.2,11,34.7,18.5,22.4,14.1,28.1,23,24.8,37.3,43.2,17.6,23,32.4,25.4,22.6,30.3
51,11.6,9.8,9.8,33.6,17.8,19.7,12.2,23.6,19.8,21.2,31,33.5,15.6,20.1,25.7,21.4,17.6,24.9
52,12.5,10.6,10.5,34.3,18.2,21.3,13.4,26.2,21.7,23.3,34.7,39.2,16.8,21.8,29.6,23.8,20.5,28.1
53,12.8,10.9,10.8,34.5,18.4,21.8,13.7,27.1,22.3,24,35.9,41.1,17.2,22.4,31,24.6,21.5,29.2
54,12.9,11,10.8,34.6,18.4,22,13.8,27.4,22.5,24.2,36.3,41.7,17.3,22.6,31.4,24.8,21.8,29.5
55,14.4,12.4,12.1,35.6,19,24.7,15.8,32,25.8,28,42.9,52.6,19.4,25.6,38.8,29,27.5,35.4
56,11.9,10.1,10,33.9,18,20.3,12.6,24.5,20.4,21.9,32.3,35.3,16,20.7,27,22.2,18.5,25.9
57,13.2,11.3,11.1,34.8,18.5,22.6,14.3,28.4,23.2,25.1,37.8,44,17.8,23.3,33,25.7,23,30.8
58,14.1,12.2,11.9,35.4,18.9,24.3,15.5,31.3,25.3,27.4,41.8,50.7,19,25.1,37.5,28.3,26.5,34.4
59,14,12.1,11.8,35.4,18.9,24,15.3,30.9,25,27.1,41.3,49.8,18.9,24.9,36.9,28,26,33.9
60,13.1,11.2,11,34.7,18.5,22.4,14.1,28,22.9,24.7,37.2,43.1,17.6,23,32.3,25.4,22.5,30.3
61,11.8,10,10,33.8,17.9,20.1,12.5,24.3,20.3,21.7,32,34.8,15.9,20.5,26.7,22,18.3,25.7
62,13,11.1,10.9,34.7,18.4,22.2,14,27.8,22.8,24.6,36.9,42.6,17.5,22.9,32,25.2,22.3,30
63,12.4,10.5,10.4,34.2,18.2,21.1,13.2,25.9,21.5,23.1,34.3,38.4,16.7,21.6,29.2,23.5,20.2,27.7
64,13.5,11.6,11.4,35,18.7,23.2,14.7,29.4,23.9,25.9,39.2,46.3,18.2,23.9,34.5,26.6,24.2,32
65,14.6,12.6,12.3,35.8,19.1,25.2,16.1,32.8,26.4,28.6,44.1,54.6,19.7,26.1,40.1,29.7,28.5,36.4
66,16.4,14.4,13.7,36.9,19.8,28.3,18.5,38.7,30.4,33.2,52.4,69.5,22.1,29.7,49.9,34.9,36.2,43.9
67,13.9,11.9,11.7,35.3,18.8,23.8,15.1,30.4,24.7,26.7,40.6,48.7,18.7,24.6,36.2,27.6,25.5,33.3
68,13,11.1,10.9,34.6,18.4,22.2,14,27.7,22.7,24.5,36.8,42.4,17.5,22.8,31.9,25.1,22.2,29.9
69,25.3,23.4,21.2,41.5,22.5,45,31.5,72.5,52.4,58.9,102,176.2,34.6,48.8,116.5,65,91,90.8
70,13.8,11.8,11.6,35.2,18.8,23.7,15,30.2,24.5,26.5,40.3,48.2,18.6,24.4,35.8,27.4,25.2,33
71,14.8,12.8,12.4,35.9,19.2,25.5,16.4,33.4,26.8,29.1,44.9,56,20,26.5,41.1,30.2,29.2,37.1
72,13.9,11.9,11.7,35.3,18.8,23.8,15.2,30.5,24.7,26.8,40.7,48.9,18.7,24.6,36.3,27.6,25.6,33.4
73,11.8,9.9,9.9,33.7,17.9,20,12.4,24,20.1,21.5,31.6,34.3,15.8,20.4,26.3,21.8,18,25.4
74,13.9,11.9,11.7,35.3,18.8,23.8,15.2,30.5,24.7,26.8,40.7,48.9,18.7,24.6,36.3,27.6,25.6,33.4
75,13.2,11.3,11.1,34.8,18.5,22.6,14.3,28.4,23.2,25.1,37.8,44,17.8,23.3,33,25.7,23,30.8
76,11,9.2,9.3,33.1,17.5,18.6,11.4,21.8,18.5,19.7,28.6,29.8,14.7,18.9,23.1,19.8,15.6,22.7
77,13.8,11.8,11.6,35.2,18.8,23.7,15,30.2,24.5,26.5,40.3,48.2,18.6,24.4,35.8,27.4,25.2,33
78,16.6,14.6,14,37.1,19.9,28.9,18.9,39.6,31,34,53.7,72,22.5,30.3,51.6,35.8,37.5,45.2
79,12.9,10.9,10.8,34.6,18.4,22,13.8,27.3,22.4,24.2,36.2,41.5,17.3,22.5,31.3,24.8,21.7,29.4
80,13.3,11.4,11.2,34.9,18.6,22.8,14.4,28.8,23.5,25.4,38.3,44.8,17.9,23.5,33.5,26.1,23.5,31.2
