,2,1,12,3,13,14,15,16,18,7,4,5,6,9,11,8,10,17,
1,,,,,,,,,,,,,,,,,58.5,49.0,
2,9.0,,,,,,,,,12.0,,,,,,,,,
3,9.0,11.0,,,,,,,,,,,,,,,,,
4,,12.0,,,,,,23.0,,,,,,,,,,,
5,,15.0,,,,,,30.0,,,,,,,,,,,
6,,11.0,,,,,,23.0,,,,,,,,,,,
7,,14.0,,,,,,25.0,,,,,,,,,,,
8,,14.0,,,,,,33.0,,,,,,,,,,,
9,16.0,,,,,,,30.0,,,,,,30.0,,,,,
10,14.0,,,,,,,33.0,,,,,,32.0,,,,,
11,14.0,,,,,,,40.0,,,,,,35.0,,,,,
12,,,,,,,,37.0,,,,,,38.0,,,,,
13,13.0,,,,,,,52.0,,,,,,43.0,,,,,
14,,14.0,,,,,,27.0,,,,,,,,,,,
15,,20.0,,,,,,60.0,,,,,,,,,,63.5,
16,,15.0,,,,,,25.0,,,,,,,,,,,
17,10.0,15.0,,,,,,,30.0,,,,,,38.0,,,,
18,,27.5,,,,,,,67.0,,,,71.5,,,,,,
19,10.0,14.0,,,,,,,,,,,,,38.0,,22.0,,
20,10.0,14.0,,,,,,,,,,18.0,,,38.0,,22.0,,
21,17.0,19.0,,,,,,,,,,22.0,,,62.0,,42.0,67.5,
22,10.0,14.0,,,,,,,,,,20.0,,,38.0,,22.0,,
23,17.0,19.0,,,,,,,,,,22.0,,,70.0,,,63.5,
24,10.0,14.0,,,,,,,,,,18.0,,,38.0,,22.0,,
25,15.0,19.0,,,,,,,,,,20.0,,,75.0,,42.0,,
26,10.0,13.0,,,,,,,,,,18.0,,,36.0,,21.0,,
27,16.0,18.0,,,,,,,,,,20.0,,,70.0,,40.0,,
28,9.0,11.5,,,,,,,,12.0,,,,,,,,,
29,10.0,,,,,,,,,12.5,,,,,,,,,
30,9.0,9.5,,,,,,,,,,,,,,,,,
31,12.0,14.5,,,,,,,,,,,,,,,,,
32,9.0,,,,,,,,,12.0,,,,,,,,,
33,9.0,,,,,,,,,12.0,,,,,,,,,
34,,13.0,,,,,,,,10.0,,,,,,,,,
35,9.5,11.3,,,,,,,,,,,,,,,,,
36,9.8,11.5,,,,,,,,,,,,,,,,,
37,,10.0,,,,,,,,,,,,,43.0,,35.0,,
38,,10.0,,,,,,,,,,,,,30.0,,,,
39,,20.0,,,,,,,,,,,,,45.0,,,,
40,10.0,,35.0,9.0,19.5,,44.3,,,,,,,20.5,40.0,27.0,24.0,,
41,10.0,12.0,,,,,,,,,,,,,,,,,
42,10.0,92.0,,,,,,,,,,,,,36.0,,,,
43,10.5,11.5,,9.5,,,,,39.0,13.0,,,,21.0,30.0,,19.5,,
44,10.5,12.5,,11.0,,,,,,,,,,,30.0,,,,
45,10.5,13.5,,10.5,,,,,,,,,,,36.0,,21.5,,
46,9.0,12.0,,,,,,,,12.0,,,,,,,,,
47,11.0,13.0,,,,,,,,14.0,,,,,,,,,
48,,11.0,,,,,,23.0,,,,,,,,,,,
49,,15.0,,,,,,25.0,,,,,,,,,,,
50,10.5,14.0,,,,,,,,,,,,,39.0,,,22.0,
51,10.8,11.5,,,,,,,,,,,,,,22.0,,,
52,11.0,12.0,,,,,,,,,,,,,,,,,
53,11.0,14.0,,10.0,,,,,,,,14.0,,,,,24.0,22.0,
54,11.0,13.0,,,,,,,,,,,,,,,24.0,,
55,,14.0,,,,,39.3,,,,,,,,,,,,
56,10.0,13.0,,,,,,21.0,,,,,,,,,,,
57,11.0,13.0,,,,,,,,,,,,,,,26.0,,
58,13.0,14.0,,,,,,27.0,,,,,,,,,,,
59,11.0,13.0,,11.5,,,45.3,,30.0,14.5,,,,22.5,45.0,,28.0,26.5,
60,11.0,14.0,,,,,,,,,,,,,,,,22.0,
61,11.6,11.5,,,,,,,,,,,,,,22.0,,,
62,11.5,12.5,,,,,,,,,,,,,,,,,
63,11.5,12.5,,,,,,,,,,,,,,24.0,,,
